<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Mellat.Inv..Bank,20200610,16014.00,16014.00,16014.00,16014.00,184186622400,11501600,6972,D,15252.00,16014.00
Mellat.Inv..Bank,20200609,15055.00,15367.00,14220.00,15252.00,568105467706,37246991,11184,D,14636.00,15367.00
Mellat.Inv..Bank,20200608,14685.00,14685.00,13600.00,14636.00,1733560978195,118443750,24592,D,13986.00,14685.00
Mellat.Inv..Bank,20200607,13986.00,13986.00,13986.00,13986.00,149736451662,10706167,5334,D,13320.00,13986.00
Mellat.Inv..Bank,20200606,13320.00,13320.00,13320.00,13320.00,154191467520,11575936,7104,D,12686.00,13320.00
Mellat.Inv..Bank,20200602,12695.00,12695.00,12388.00,12686.00,231800224533,18272454,9428,D,12091.00,12695.00
Mellat.Inv..Bank,20200601,11795.00,12187.00,11200.00,12091.00,404903654443,33487951,14348,D,11607.00,12187.00
Mellat.Inv..Bank,20200531,11720.00,11720.00,10677.00,11607.00,1113912236531,95968484,23477,D,11162.00,11720.00
Mellat.Inv..Bank,20200530,11162.00,11162.00,11162.00,11162.00,71611541110,6415655,7595,D,10631.00,11162.00
Mellat.Inv..Bank,20200527,10100.00,10771.00,10100.00,10631.00,437895881001,41190432,38584,D,10259.00,10771.00
Mellat.Inv..Bank,20200526,10180.00,10651.00,9752.00,10259.00,928393000000,90495915,69042,D,10158.00,9809.00
Mellat.Inv..Bank,20200523,10105.00,10490.00,10105.00,10144.00,953787909641,94024949,68357,D,10636.00,10390.00
Mellat.Inv..Bank,20200520,10650.00,11000.00,10515.00,10636.00,443339487197,41683584,29004,D,11068.00,10515.00
Mellat.Inv..Bank,20200519,10900.00,11445.00,10795.00,11068.00,746480059765,67442625,46364,D,11799.00,10990.00
Mellat.Inv..Bank,20200513,12104.00,13099.00,12104.00,12299.00,1937607022430,157542607,74603,D,12741.00,12104.00
Mellat.Inv..Bank,20200512,12741.00,12741.00,12741.00,12741.00,269396595870,21144070,7956,D,13411.00,12741.00
Mellat.Inv..Bank,20200511,13419.00,13419.00,12785.00,13411.00,467741313226,34878272,18531,D,12780.00,13410.00
Mellat.Inv..Bank,20200510,12780.00,12780.00,12780.00,12780.00,444559801860,34785587,17459,D,12172.00,12780.00
Mellat.Inv..Bank,20200509,12172.00,12172.00,12172.00,12172.00,170829759800,14034650,14589,D,11593.00,12172.00
Mellat.Inv..Bank,20200506,11112.00,11790.00,10668.00,11593.00,802444601654,69219806,49896,D,11229.00,11790.00
Mellat.Inv..Bank,20200505,11334.00,11334.00,10841.00,11229.00,2439776931938,217276603,74415,D,10795.00,11334.00
Mellat.Inv..Bank,20200504,10325.00,10841.00,10325.00,10795.00,279585391355,25899463,14529,D,9834.00,10841.00
Mellat.Inv..Bank,20200429,10135.00,10135.00,10135.00,9834.00,23424539020,2311252,2357,D,9653.00,10135.00
Mellat.Inv..Bank,20200428,9653.00,9653.00,9653.00,9653.00,233682121414,24207818,15567,D,9194.00,9653.00
Mellat.Inv..Bank,20200427,9194.00,9194.00,9194.00,9194.00,74315892684,8083086,17293,D,8757.00,9194.00
Mellat.Inv..Bank,20200426,8956.00,8956.00,8956.00,8757.00,29392562060,3281885,5447,D,8530.00,8956.00
Mellat.Inv..Bank,20200425,8530.00,8530.00,8530.00,8530.00,191078986070,22400819,6948,D,8124.00,8530.00
Mellat.Inv..Bank,20200422,8124.00,8124.00,8124.00,8124.00,201402855780,24791095,9545,D,7738.00,8124.00
Mellat.Inv..Bank,20200421,8049.00,8049.00,8049.00,7738.00,11297608596,1403604,1398,D,7666.00,8049.00
Mellat.Inv..Bank,20200420,7666.00,7666.00,7666.00,7666.00,161236731862,21032707,19564,D,7301.00,7666.00
Mellat.Inv..Bank,20200419,7419.00,7419.00,6899.00,7301.00,1265676321414,173345559,98779,D,7066.00,7290.00
Mellat.Inv..Bank,20200418,7066.00,7066.00,7066.00,7066.00,208408942524,29494614,16771,D,6730.00,7066.00
Mellat.Inv..Bank,20200415,6372.00,6756.00,6114.00,6730.00,179910689620,26732001,42657,D,6435.00,6756.00
Mellat.Inv..Bank,20200414,6372.00,7042.00,6372.00,6435.00,391137805900,60781579,77664,D,6707.00,6514.00
Mellat.Inv..Bank,20200413,6815.00,7177.00,6495.00,6707.00,1303927438273,194425233,192355,D,6836.00,6672.00
Mellat.Inv..Bank,20200412,6836.00,6836.00,6836.00,6836.00,169215493388,24753583,11331,D,6511.00,6836.00
Mellat.Inv..Bank,20200411,6208.00,6518.00,6208.00,6511.00,182303409130,27997895,10358,D,5913.00,6518.00
Mellat.Inv..Bank,20200408,5913.00,5913.00,5913.00,5913.00,117709824915,19906955,25375,D,5632.00,5913.00
Mellat.Inv..Bank,20200407,5887.00,6181.00,5887.00,5632.00,5117671986,869298,2168,D,5607.00,6181.00
Mellat.Inv..Bank,20200406,5358.00,5625.00,5358.00,5607.00,78202684629,13946195,13221,D,5103.00,5625.00
Mellat.Inv..Bank,20200330,5120.00,5120.00,5120.00,5099.00,51132810240,9986877,8253,D,4877.00,5120.00
Mellat.Inv..Bank,20200329,5047.00,5047.00,5047.00,4877.00,16054708880,3181040,8031,D,4807.00,5047.00
Mellat.Inv..Bank,20200328,4811.00,4811.00,4811.00,4807.00,51495375614,10703674,5489,D,4582.00,4811.00
Mellat.Inv..Bank,20200325,4752.00,4752.00,4752.00,4582.00,13204591488,2778744,6150,D,4526.00,4752.00
Mellat.Inv..Bank,20200324,4701.00,4701.00,4701.00,4526.00,11236109253,2390153,5387,D,4478.00,4701.00
Mellat.Inv..Bank,20200318,4654.00,4654.00,4654.00,4478.00,11512730112,2473728,5842,D,4433.00,4654.00
Mellat.Inv..Bank,20200317,4604.00,4604.00,4604.00,4433.00,12096604848,2627412,4957,D,4385.00,4604.00
Mellat.Inv..Bank,20200316,4554.00,4554.00,4554.00,4385.00,12076511238,2651847,5916,D,4338.00,4554.00
Mellat.Inv..Bank,20200315,4500.00,4500.00,4500.00,4338.00,13195386000,2932308,5799,D,4286.00,4500.00
Mellat.Inv..Bank,20200314,4337.00,4337.00,4337.00,4286.00,39501656220,9108060,7639,D,4131.00,4337.00
Mellat.Inv..Bank,20200311,4131.00,4131.00,4131.00,4131.00,138235586904,33462984,7309,D,3935.00,4131.00
Mellat.Inv..Bank,20200310,3935.00,3935.00,3935.00,3935.00,280419932545,71263007,5131,D,3748.00,3935.00
Mellat.Inv..Bank,20200309,3748.00,3748.00,3748.00,3748.00,99177240996,26461377,4437,D,3570.00,3748.00
Mellat.Inv..Bank,20200307,3570.00,3570.00,3570.00,3570.00,54577392450,15287785,3680,D,3400.00,3570.00
Mellat.Inv..Bank,20200304,3400.00,3400.00,3400.00,3400.00,2406375428600,707757479,1681523,D,1000.00,3400.00
