<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20200620,18232.00,18232.00,18232.00,18232.00,57195297256,3137083,454,D,17364.00,18232.00
Zagros.Kosar.Power,20200616,17845.00,17845.00,17845.00,17364.00,25729402815,1441827,392,D,16996.00,17845.00
Zagros.Kosar.Power,20200615,16996.00,16996.00,16996.00,16996.00,57109891216,3360196,417,D,16187.00,16996.00
Zagros.Kosar.Power,20200614,15650.00,16512.00,14950.00,16187.00,85754008301,5297833,979,D,15726.00,16512.00
Zagros.Kosar.Power,20200613,15781.00,15781.00,15375.00,15726.00,146280913678,9301568,3081,D,15030.00,15781.00
Zagros.Kosar.Power,20200610,15034.00,15034.00,14735.00,15030.00,138300579559,9201791,1856,D,14319.00,15034.00
Zagros.Kosar.Power,20200609,14400.00,14711.00,13500.00,14319.00,134449786392,9389828,2571,D,14033.00,14644.00
Zagros.Kosar.Power,20200608,14060.00,14060.00,13681.00,14033.00,167528342104,11937824,2145,D,13391.00,14060.00
Zagros.Kosar.Power,20200607,13683.00,13683.00,13683.00,13391.00,29811548907,2178729,204,D,13032.00,13683.00
Zagros.Kosar.Power,20200606,13274.00,13274.00,13274.00,13032.00,32372989598,2438827,687,D,12642.00,13274.00
Zagros.Kosar.Power,20200602,12700.00,13050.00,12251.00,12642.00,67344434433,5327007,1852,D,12439.00,12641.00
Zagros.Kosar.Power,20200601,12550.00,13107.00,12100.00,12439.00,56814799079,4567430,1329,D,12655.00,12218.00
Zagros.Kosar.Power,20200531,13300.00,13300.00,12120.00,12655.00,62477111305,4936913,1491,D,12739.00,12399.00
Zagros.Kosar.Power,20200530,12758.00,12758.00,12151.00,12739.00,83200034931,6531300,1299,D,12151.00,12758.00
Zagros.Kosar.Power,20200527,11623.00,12643.00,11623.00,12151.00,78473252059,6457958,1823,D,12234.00,12100.00
Zagros.Kosar.Power,20200526,12231.00,12800.00,12231.00,12234.00,46415764397,3793870,693,D,12874.00,12231.00
Zagros.Kosar.Power,20200523,13000.00,13399.00,12556.00,12874.00,83401174205,6478327,2048,D,13216.00,12556.00
Zagros.Kosar.Power,20200520,13501.00,13790.00,13097.00,13216.00,142734728309,10800235,2172,D,13786.00,13097.00
Zagros.Kosar.Power,20200519,14900.00,14900.00,13616.00,13786.00,126348704269,9164916,2322,D,14332.00,13616.00
Zagros.Kosar.Power,20200518,14200.00,14488.00,13871.00,14332.00,111761575991,7798067,2148,D,13799.00,14488.00
Zagros.Kosar.Power,20200517,13689.00,14409.00,13689.00,13799.00,202553495291,14679044,2926,D,14409.00,13689.00
Zagros.Kosar.Power,20200516,14081.00,14081.00,14081.00,14409.00,26468872398,1879758,266,D,14822.00,14081.00
Zagros.Kosar.Power,20200512,14646.00,14646.00,14646.00,14822.00,36072336408,2462948,336,D,15416.00,14646.00
Zagros.Kosar.Power,20200511,15510.00,16400.00,15082.00,15416.00,104209866774,6759858,1903,D,15875.00,15082.00
Zagros.Kosar.Power,20200510,16439.00,17150.00,15618.00,15875.00,203839866139,12840216,2697,D,15657.00,15618.00
Zagros.Kosar.Power,20200505,15979.00,15979.00,15796.00,15657.00,32715836648,2048017,500,D,15219.00,15979.00
Zagros.Kosar.Power,20200504,15240.00,15796.00,14292.00,15219.00,235700542335,15487109,4292,D,15044.00,15796.00
Zagros.Kosar.Power,20200503,15186.00,15186.00,15186.00,15044.00,43171702332,2842862,563,D,14463.00,15186.00
Zagros.Kosar.Power,20200502,14847.00,14847.00,14847.00,14463.00,23974831671,1614793,619,D,14140.00,14847.00
Zagros.Kosar.Power,20200429,14361.00,14361.00,14361.00,14140.00,42144695343,2934663,898,D,13678.00,14361.00
Zagros.Kosar.Power,20200428,13727.00,13727.00,13530.00,13678.00,73658538663,5385024,1363,D,13074.00,13727.00
Zagros.Kosar.Power,20200427,12849.00,13214.00,12698.00,13074.00,70740642153,5410798,1146,D,12585.00,13214.00
